Country Name,Country Code,Region,Income group,2022_pop,2022_gdp_pc
Aruba,ABW,Latin America & Caribbean,High income,106445,33300.83882
Afghanistan,AFG,South Asia,Low income,41128771,
Angola,AGO,Sub-Saharan Africa,Lower middle income,35588987,3000.444231
Albania,ALB,Europe & Central Asia,Upper middle income,2777689,6810.114041
Andorra,AND,Europe & Central Asia,High income,79824,41992.77278
United Arab Emirates,ARE,Middle East & North Africa,High income,9441129,53707.98008
Argentina,ARG,Latin America & Caribbean,Upper middle income,46234830,13650.60463
Armenia,ARM,Europe & Central Asia,Upper middle income,2780469,7018.051504
American Samoa,ASM,East Asia & Pacific,High income,44273,19673.3901
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,93763,19919.72669
Australia,AUS,East Asia & Pacific,High income,26005540,65099.84591
Austria,AUT,Europe & Central Asia,High income,9041851,52084.6812
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,10141756,7762.073829
Burundi,BDI,Sub-Saharan Africa,Low income,12889576,259.0250314
Belgium,BEL,Europe & Central Asia,High income,11685814,49926.82543
Benin,BEN,Sub-Saharan Africa,Lower middle income,13352864,1302.851036
Burkina Faso,BFA,Sub-Saharan Africa,Low income,22673762,830.0371503
Bangladesh,BGD,South Asia,Lower middle income,171186372,2688.305501
Bulgaria,BGR,Europe & Central Asia,Upper middle income,6465097,13974.44925
Bahrain,BHR,Middle East & North Africa,High income,1472233,30146.92503
"Bahamas, The",BHS,Latin America & Caribbean,High income,409984,31458.30081
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,3233526,7568.79848
Belarus,BLR,Europe & Central Asia,Upper middle income,9228071,7888.263711
Belize,BLZ,Latin America & Caribbean,Upper middle income,405272,6984.21696
Bermuda,BMU,North America,High income,63532,118774.7907
Bolivia,BOL,Latin America & Caribbean,Lower middle income,12224110,3600.121635
Brazil,BRA,Latin America & Caribbean,Upper middle income,215313498,8917.674911
Barbados,BRB,Latin America & Caribbean,High income,281635,20238.78424
Brunei Darussalam,BRN,East Asia & Pacific,High income,449002,37152.47697
Bhutan,BTN,South Asia,Lower middle income,782455,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2630296,7738.878804
Central African Republic,CAF,Sub-Saharan Africa,Low income,5579144,427.0580962
Canada,CAN,North America,High income,38929902,55522.44569
Switzerland,CHE,Europe & Central Asia,High income,8775760,93259.90572
Channel Islands,CHI,Europe & Central Asia,High income,174079,
